Shift,Split,Sampling,Frames,Accuracy Avg Top1,Acccuracy Avg Class
D3,test,Uniform,5,0.57,0.42
D3,test,Uniform,10,0.63,0.50
D3,test,Uniform,16,0.68,0.54
D3,test,Uniform,20,0.66,0.53
D3,test,Uniform,25,0.66,0.55
D1,test,Dense,16,0.60,0.55
D2,test,Dense,16,0.68,0.69
D3,test,Dense,16,0.72,0.56
D1,test,Uniform,25,0.54,0.5487
D1,test,Uniform,5,0.45,0.3799
D1,test,Uniform,16,0.56,0.5463
D2,test,Uniform,25,0.59,0.6452
D2,test,Uniform,16,0.63,0.6829
D2,test,Uniform,5,0.55,0.6086
D1,train,Uniform,5,0.73,0.6341
D1,train,Uniform,16,0.85,0.8415
D1,train,Uniform,25,0.83,0.8509
D2,train,Uniform,5,0.70,0.7515
D2,train,Uniform,16,0.86,0.8802
D2,train,Uniform,25,0.79,0.8133
D3,train,Uniform,25,0.76,0.7783
D3,train,Uniform,16,0.79,0.785
D3,train,Uniform,5,0.63,0.5414
